ship,lat,lon
WAH3,59.099,-2.1548
WAH3,59.1338,-1.1395
WAH3,58.8208,-0.6018
WAH3,59.1822,-0.5265
WAH3,59.5817,-1.2502
WAH3,59.7128,-0.5232
WAH3,59.755,0.3343
WAH3,60.0353,-0.3125
WAH3,60.689,-0.6287
WAH3,61.1812,-1.1378
WAH3,61.1805,-0.4895
WAH3,61.25,1.3382
WAH3,61.2635,0.6627
WAH3,60.6768,0.8987
WAH3,57.6795,1.3337
WAH3,57.5765,0.591
WAH3,57.3197,0.591
WAH3,57.3552,1.082
WAH3,56.6833,0.7852
WAH3,56.7753,1.328
WAH3,56.2673,2.1635
WAH3,55.729,2.0455
WAH3,55.698,1.6837
WAH3,55.4812,1.625
WAH3,55.3857,2.167
