"lon","lat"
6.929,62.829
6.911,62.833
6.866,62.825
6.821,62.825
6.785,62.829
6.758,62.825
6.758,62.808
6.749,62.804
6.749,62.792
6.839,62.784
6.875,62.767
NA,NA
6.686,62.652
6.659,62.66
6.668,62.673
6.686,62.689
6.659,62.706
6.659,62.718
6.668,62.722
6.704,62.722
6.731,62.714
6.866,62.722
6.893,62.714
6.893,62.693
6.839,62.673
6.686,62.652
NA,NA
6.012,62.511
5.976,62.511
5.976,62.528
6.066,62.561
6.093,62.561
6.093,62.54
6.084,62.528
6.021,62.52
6.012,62.511
NA,NA
6.219,62.382
6.138,62.382
6.057,62.395
6.03,62.403
6.039,62.416
6.111,62.42
6.138,62.42
6.21,62.424
6.237,62.416
6.273,62.403
6.308,62.395
6.282,62.387
6.219,62.382
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
5.635,62.152
5.599,62.157
5.527,62.19
5.527,62.253
5.545,62.27
5.599,62.27
5.661,62.27
5.679,62.278
5.706,62.274
5.796,62.253
5.769,62.232
5.778,62.215
5.787,62.207
5.706,62.169
5.635,62.152
NA,NA
5.113,61.895
4.996,61.908
4.987,61.925
5.005,61.938
5.014,61.946
4.943,61.976
4.952,61.988
4.978,61.988
5.032,61.976
5.086,61.98
5.113,61.967
5.113,61.933
5.113,61.925
5.122,61.908
5.113,61.895
NA,NA
4.96,60.941
4.987,60.945
4.987,60.985
4.96,60.985
4.952,60.976
4.916,60.98
4.898,60.976
4.907,60.954
4.96,60.941
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
