"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"34",8333870.8,8221363.6,8892313.4,9837225.5,10385027,10586741,10358037,9909405.4,9463026.1,9074848.2,8634782.9,8094538.2,7472294.1,6740840,5992099.6,5122178.7,4270518.2,3400414.8,2622241.6,1973073.8,1447582.4,1031490.5,727629.29,540151.33,487008.55,583529.17
"35",8422367.6,7890096.4,8180520.7,8911001.6,9479899.3,9981384.3,10071433,9766142.7,9332281.3,8961857.2,8567918.7,8065061.8,7475022.7,6774360.4,6111377.9,5328064.9,4586193.1,3755666.5,2960165.9,2264153.1,1682546.1,1212195,859340.81,619630.09,504880.23,519355.3
"36",8462217.8,7566348.3,7472307.1,7901574.9,8358098.7,9042296.3,9443020.2,9357383.7,8996439,8659251.8,8316289.8,7856631.6,7302721.6,6628959.3,6051722.1,5367796,4779053.3,4038786.1,3268057.8,2552750,1925620.2,1402961.7,1002842.9,714594.56,544120.9,481589.09
"37",8392861.6,7217376.6,6782456.3,6880504.8,7134862.9,7860120,8489256.1,8649003.7,8421344.8,8147336.6,7866046.8,7456340.8,6944330.1,6297618.3,5798910.5,5218096.2,4809664.5,4205703.3,3506742.6,2811335.9,2160407.3,1594134.8,1150726.9,818161.76,598465.2,465553.17
"38",8173599.7,6823608.7,6124724.5,5914738.2,5933069.5,6574010.6,7306513.7,7677526.9,7618301.3,7439552.8,7234700,6883593.6,6420650.8,5806671.8,5374218.6,4890948,4664326.6,4226849.7,3642113.7,3010559.6,2367365.8,1774467.9,1295476.2,923709.29,661479.19,465782.29
"39",7785940.2,6379692.2,5510038.8,5052220.6,4848800.1,5325295,6037226.9,6541601.7,6647531.4,6583920.3,6468144.9,6185257.6,5779226.2,5208561.6,4829760.9,4431728.8,4361829.8,4097304.4,3655513.4,3126844.3,2527657.1,1932553.8,1430442.8,1026286.5,728152.7,477577.92
"40",7231066,5886702.3,4941900,4314042.3,3932867.3,4216791.1,4818368.8,5364015.7,5597288.5,5648092.2,5625619.5,5418879.6,5077118.3,4562354.4,4228521.8,3900812.9,3945324.2,3836295.4,3546969.8,3147109.8,2625991.3,2057435.3,1549564.6,1122554.6,795401.4,497683.8
"41",6527937.8,5345686.1,4414131.6,3696486.2,3193741.3,3297837.4,3744687.6,4252181.3,4555992.1,4700157.3,4763692,4636263.4,4364224.1,3916507.3,3624173.1,3353048.3,3466140.8,3478324.4,3331556.2,3069391.4,2651888.1,2138616.9,1646189.7,1209337,861165.89,523901.22
"42",5712245.9,4758294.7,3913486.5,3179538,2612220.9,2572687.3,2859718.8,3277169,3593590.7,3796564.1,3927920.2,3876006.4,3675752.7,3302456.3,3051947.5,2827062,2970140.3,3062785.2,3033581.4,2901345.1,2600434.5,2166592.8,1712326.5,1282035.1,922943.07,554226.79
"43",4833102.4,4131860.2,3425596,2736543.3,2156526.2,2018121.8,2166042.8,2471583,2754934.4,2978232.6,3151829.8,3164145.9,3033079.9,2736815.4,2529821.5,2344634.4,2491090.2,2626256.7,2681545,2658325.9,2473157.7,2134402.3,1739209.6,1334001.2,976660.26,586060.14
"44",3946089.5,3483292.3,2941234.9,2342050.9,1792888.8,1599369.6,1641412.5,1837556.4,2060702.7,2270739.5,2458734.1,2517910.6,2448173.1,2226589.7,2064028.5,1914875,2049853.1,2198122.7,2304103.3,2361204,2278552.2,2039693.5,1719115.9,1357207.4,1016349.4,615705.72
"45",3104308.2,2838518.1,2460319.3,1977114.8,1491729.8,1280662.7,1252741.7,1357502.3,1511755.2,1685616.1,1863232.2,1948849.6,1927864.7,1773889,1654530.7,1539100,1656644,1798904.7,1926762.6,2033612.5,2031522.6,1886331.4,1647734.1,1343991.1,1034756.7,638278.1
"46",2350307.2,2227735.2,1992288.1,1631980.7,1230865.9,1031026.8,965601.9,1003892.7,1094781.5,1222100,1371714,1464111.4,1476397.8,1378993.4,1298864.8,1214734.9,1314285,1440592.6,1569505.1,1698781.3,1751451.2,1684726.3,1526167.3,1289322.7,1024808.2,648130.47
"47",1711118.7,1678892.3,1553041.3,1306109.5,996701.95,826937.58,749706.6,746744.24,788172.46,869613.66,982593.71,1066297.7,1096131.6,1041741.5,994277.69,937927.12,1021310.6,1128269.6,1245729.9,1376619.4,1459237.7,1450556.3,1361756,1192838.6,981586.87,639850.97
"48",1197170.9,1212095.2,1159908.2,1005800.2,783735.66,653024.1,581553.89,558642.81,567351.25,611038.73,687166.41,752930.29,787039.67,761595.28,738489.36,704986.93,774386.3,862313.93,962581.88,1081796.7,1174139.4,1202169.3,1167295.8,1059868.2,904205.06,609656.11
"49",804522.57,836663.67,826661.65,740299.23,592580.65,501365.52,445159.53,417598.16,408992.24,426377.38,471471.66,516475.43,545899.31,536924.12,529479.81,512862.04,569838.72,640522.31,722301.89,823214.7,911328.18,957462.06,958807.97,900965.78,796842.54,556751.39
"50",519099.13,551214.19,560236.17,517743.22,427015.14,369677.79,331415.48,308111.43,293806.09,296142.57,318931.91,345380.82,365976.27,364156.4,364742.76,358887.42,404289.52,459682.75,523967.13,604723.24,680755.49,731207.45,752580.31,729995.16,668429.79,484096.61
"51",321468.41,346058.74,359871.81,342225.89,290913.35,258811.79,236435.37,220810.67,207810.24,203874.41,213135.22,225992.06,237621.26,237387.4,240511.31,240144.06,274556.69,316368.77,364997.89,426520.94,487356.25,533548.61,562448.68,561393.32,530955.7,398147.97
"52",191011.06,206701.04,218407.3,212697.76,185957.71,170218.85,159331.1,151032.42,142213.32,137422.96,140066.89,144789.3,149697.17,148762.62,151415.57,152838.79,177151.56,207013.92,242040.67,286556.66,332113.02,369820.43,398104.91,407550.15,396958.68,307545.2
"53",108860.1,117261.54,124810.04,123632.91,110680.33,104077.9,100020.2,96852.285,92246.327,88954.673,89297.927,90251.755,91345.223,89553.147,90807.427,92079.927,107803.13,127584.06,151194.09,181449.33,213293.66,241305.02,264672.41,277092.81,277086.19,221180.7
"54",59486.892,63059.9,66897.866,66804.191,60825.483,58509.906,57659.275,57179.978,55470.615,53964.151,54000.87,53828.363,53450.007,51491.849,51642.251,52213.147,61380.53,73296.42,87880.245,106845.85,127353.22,146275.91,163223.82,174346.18,178474.81,146344.47
"55",31157.101,32074.277,33475.516,33311.324,30555.623,29854.686,30037.481,30470.17,30187.195,29830.636,30061.092,29873.525,29325.161,27819.51,27512.39,27570.224,32331.999,38740.564,46810.866,57520.452,69421.023,80861.141,91666.065,99698.622,104211.09,87518.707
"56",15635.052,15387.854,15545.965,15183.108,13847.604,13597.477,13857.133,14306.627,14450.177,14535.493,14840.146,14833.99,14530.432,13666.497,13360.059,13245.849,15425.911,18445.66,22348,27640.877,33675.954,39687.011,45611.815,50401.853,53654.553,46013.443
"57",7513.5927,6939.4514,6647.0691,6241.8643,5555.7457,5396.4194,5499.4606,5722.6053,5853.8602,5974.9849,6183.971,6244.1701,6145.6036,5774.3538,5613.3224,5522.0027,6383.5208,7595.5089,9188.6632,11388.611,13948.95,16571.55,19245.259,21537.835,23273.557,20308.615
"58",3455.9708,2928.5852,2587.2821,2267.7066,1914.4547,1793.5413,1789.269,1844.1777,1884.4453,1931.8252,2013.5482,2048.1543,2027.3283,1910.1323,1855.9726,1820.1807,2095.0406,2482.5014,2994.9113,3709.3625,4550.6288,5427.329,6341.279,7154.454,7809.6768,6898.0831
"59",54.377576,213.15174,309.06636,351.85812,345.71625,354.25829,372.505,395.76809,411.37657,425.65594,445.82536,454.63319,450.67632,425.12832,413.58821,406.15582,468.09337,555.24564,670.28738,830.331,1018.3369,1213.6258,1416.3977,1595.6616,1738.6308,1532.3905
